aX,aY,aZ,gX,gY,gZ
0.678,-0.650,0.249,-50.354,39.429,16.968
0.667,-0.638,0.240,-46.204,38.086,13.794
0.681,-0.659,0.252,-45.166,35.645,13.062
0.699,-0.677,0.278,-47.791,31.067,14.404
0.710,-0.672,0.320,-52.490,30.029,15.503
0.706,-0.653,0.330,-52.795,30.273,15.991
0.707,-0.644,0.338,-40.039,36.987,11.169
0.715,-0.653,0.346,-32.166,43.518,5.249
0.711,-0.664,0.325,-10.010,55.420,-4.395
0.699,-0.668,0.230,-2.930,56.213,-4.395
0.699,-0.665,0.190,-3.357,45.471,2.930
0.710,-0.664,0.172,-5.371,38.513,7.202
0.710,-0.650,0.179,-8.240,33.203,10.742
0.706,-0.624,0.191,-12.512,26.611,12.451
0.704,-0.589,0.222,-12.024,25.635,10.071
0.712,-0.597,0.232,-15.381,27.954,2.930
0.739,-0.643,0.231,-19.104,29.724,1.404
0.740,-0.649,0.213,-22.827,29.846,2.258
0.735,-0.643,0.194,-23.010,25.940,5.798
0.735,-0.640,0.186,-16.602,25.208,5.371
0.738,-0.644,0.182,2.136,25.879,1.953
0.735,-0.641,0.168,5.981,24.292,1.282
0.737,-0.643,0.168,4.761,21.423,1.587
0.743,-0.649,0.172,-5.981,16.785,4.089
0.746,-0.643,0.181,-7.935,16.602,4.761
0.744,-0.638,0.173,2.197,19.348,1.404
0.743,-0.652,0.146,6.775,20.264,-1.343
0.742,-0.664,0.138,10.498,20.142,-3.601
0.742,-0.676,0.135,15.137,16.357,-4.028
0.747,-0.691,0.149,14.709,14.038,-1.587
0.743,-0.684,0.150,7.629,9.399,4.028
0.735,-0.659,0.163,3.540,6.958,5.188
0.735,-0.651,0.173,6.531,4.944,3.418
1.184,-0.876,0.527,-44.678,58.411,18.921
1.229,-0.939,0.523,-56.335,66.101,26.489
1.324,-1.066,0.572,-57.861,71.655,29.785
1.346,-1.102,0.585,-52.795,78.857,35.034
1.351,-1.132,0.564,-33.936,93.506,53.833
1.325,-1.156,0.405,-31.006,98.511,67.932
1.290,-1.115,0.313,-43.762,100.830,101.562
1.218,-1.009,0.214,-51.086,101.196,114.014
1.198,-0.991,0.207,-51.575,109.802,126.221
1.165,-0.984,0.204,-47.302,114.502,133.972
1.131,-0.930,0.189,-47.913,115.295,146.729
1.086,-0.850,0.161,-76.965,105.530,177.917
1.024,-0.730,0.127,-99.426,99.548,189.819
1.000,-0.703,0.119,-133.545,98.694,200.439
0.924,-0.731,0.070,-144.531,103.455,199.219
0.898,-0.803,0.002,-141.418,109.741,196.533
0.884,-0.915,-0.111,-103.516,117.554,207.336
0.847,-1.063,-0.325,-89.844,114.990,224.976
0.816,-1.029,-0.384,-90.088,97.656,265.930
0.739,-0.828,-0.419,-95.947,84.290,282.104
0.698,-0.748,-0.428,-73.059,63.782,299.072
0.615,-0.602,-0.462,-50.110,60.059,301.636
