aX,aY,aZ,gX,gY,gZ
0.791,-2.473,0.029,-48.889,39.917,42.847
0.670,-2.002,0.168,-43.274,21.301,106.018
0.508,-1.292,0.157,-19.165,10.437,120.117
0.456,-1.068,0.123,-8.118,-19.409,136.597
0.371,-0.758,0.093,-4.944,-30.762,139.771
0.325,-0.629,0.068,2.441,-44.312,132.202
0.247,-0.414,0.012,8.179,-48.279,122.681
0.230,-0.345,-0.021,18.616,-52.063,111.328
0.221,-0.295,-0.038,40.100,-62.866,87.219
0.190,-0.183,0.038,37.964,-67.078,75.500
0.171,-0.113,0.114,8.240,-64.575,51.331
0.112,0.026,0.231,-2.747,-57.800,37.292
0.075,0.086,0.254,-6.714,-47.607,20.935
0.035,0.140,0.266,-3.052,-16.724,-21.423
-0.054,0.192,0.281,5.981,3.967,-50.110
-0.091,0.126,0.276,24.963,53.650,-128.357
-0.110,-0.293,0.172,27.527,80.078,-173.950
-0.102,-0.671,0.002,30.212,104.004,-218.567
0.110,-1.855,-0.574,46.509,120.361,-281.372
0.389,-2.525,-0.795,49.011,99.976,-278.748
0.700,-3.026,-0.818,3.662,17.517,-163.940
0.974,-3.055,-0.499,-24.963,-18.555,-66.284
0.840,-2.651,-0.315,-47.913,-27.954,87.708
0.520,-1.687,0.003,-54.321,-9.460,123.962
0.429,-1.294,0.077,-52.673,4.700,139.832
0.406,-1.022,0.115,-34.180,5.493,138.916
0.453,-0.726,0.135,-29.663,2.380,136.230
0.464,-0.616,0.112,-17.334,1.648,135.559
0.416,-0.368,0.052,-9.094,4.211,133.423
0.384,-0.245,0.031,5.127,14.282,118.347
0.349,-0.055,0.011,12.756,19.958,105.164
0.341,0.007,0.009,20.142,25.146,89.783
0.326,0.060,0.007,40.405,33.142,57.007
0.246,0.177,-0.006,52.063,36.987,37.781
0.715,-2.917,-1.223,61.646,36.438,-257.568
1.031,-3.405,-1.081,14.038,-49.072,-112.549
1.027,-3.171,-0.509,-18.127,-74.646,-9.460
0.809,-2.658,-0.424,-44.983,-87.280,143.433
0.524,-1.703,-0.471,-36.377,-93.323,174.805
0.482,-1.393,-0.405,-26.978,-103.516,188.110
0.469,-1.159,-0.281,-35.461,-118.408,199.585
0.440,-0.739,-0.076,-40.344,-119.507,203.308
0.400,-0.525,-0.021,-42.664,-116.211,199.036
0.318,-0.121,0.083,-46.326,-109.131,187.927
0.294,0.043,0.120,-43.457,-79.590,149.475
0.268,0.241,0.141,-39.246,-60.669,125.977
0.268,0.273,0.137,-34.790,-42.297,102.417
0.272,0.275,0.133,-15.869,-16.602,61.279
0.246,0.302,0.163,-5.127,-10.742,46.326
0.206,0.362,0.195,8.484,-2.075,15.991
0.097,0.519,0.232,15.503,7.568,-8.545
0.041,0.563,0.211,28.748,23.071,-43.091
-0.012,0.523,0.154,80.017,61.646,-138.916
-0.050,0.051,-0.095,106.628,74.585,-192.688
-0.020,-0.411,-0.296,130.127,67.139,-279.541
0.218,-1.763,-0.715,125.122,44.189,-300.903
0.479,-2.539,-0.805,104.431,-25.513,-277.283
1.071,-3.582,-0.701,85.083,-59.814,-220.154
1.170,-3.586,-0.562,55.298,-83.313,-133.179
1.081,-3.244,-0.454,-22.583,-82.581,59.692
0.708,-2.110,-0.313,-51.941,-68.909,119.141
0.596,-1.636,-0.255,-52.429,-61.035,154.175
0.553,-1.144,-0.127,-40.161,-65.002,152.161
0.561,-1.019,-0.074,-30.823,-70.496,149.414
0.533,-0.752,-0.048,-30.090,-72.327,151.917
0.486,-0.594,-0.043,-29.663,-73.975,154.175
0.428,-0.431,-0.025,-32.593,-72.815,149.963
0.328,-0.139,0.056,-35.217,-68.726,141.846
0.292,-0.018,0.109,-36.011,-52.307,113.037
0.241,0.144,0.193,-36.499,-41.077,93.933
0.226,0.189,0.210,-29.541,-21.057,57.739
0.186,0.258,0.209,-24.963,-14.343,42.664
0.148,0.304,0.215,-20.691,-8.118,26.978
0.100,0.360,0.233,-7.935,12.024,-23.010
-0.007,0.428,0.284,0.244,28.076,-61.157
-0.048,0.364,0.281,15.381,64.087,-154.968
-0.072,-0.091,0.139,30.151,75.989,-200.439
-0.050,-0.487,-0.007,51.697,79.468,-237.732
0.031,-1.011,-0.181,90.515,53.955,-274.780
0.448,-2.307,-0.463,96.375,22.949,-268.982
0.752,-2.877,-0.496,64.697,-42.358,-193.604
1.112,-3.264,-0.405,38.696,-58.411,-119.873
1.012,-2.997,-0.278,-49.927,-54.382,52.917
0.694,-2.077,-0.067,-79.956,-41.992,108.582
0.626,-1.668,-0.040,-84.045,-30.945,132.935
0.607,-1.374,-0.030,-70.740,-26.917,131.348
0.605,-1.059,0.030,-74.219,-30.701,127.441
0.600,-0.942,0.056,-79.407,-34.180,129.333
0.526,-0.649,0.078,-78.064,-33.203,131.165
0.460,-0.482,0.095,-74.951,-29.053,126.282
0.342,-0.166,0.167,-73.242,-25.330,117.615
