aX,aY,aZ,gX,gY,gZ
0.975,-0.147,0.231,1.831,-3.235,-2.075
0.974,-0.154,0.227,4.700,0.061,-0.183
0.965,-0.127,0.223,5.554,1.709,1.038
0.965,-0.117,0.205,5.615,3.662,1.404
0.971,-0.121,0.177,4.150,4.639,0.305
0.979,-0.125,0.170,3.296,2.747,0.061
0.979,-0.118,0.190,2.625,1.648,0.000
0.983,-0.113,0.177,3.174,3.418,0.000
0.984,-0.121,0.166,4.028,4.639,-0.122
0.982,-0.125,0.169,7.324,4.700,0.854
0.975,-0.108,0.183,8.728,4.883,1.587
0.974,-0.101,0.176,10.742,6.165,0.854
0.983,-0.131,0.148,11.292,5.920,-0.305
0.984,-0.146,0.155,11.841,4.700,-0.854
0.980,-0.140,0.169,13.794,1.892,0.305
0.974,-0.128,0.167,14.038,1.343,0.000
0.979,-0.146,0.154,11.597,-0.854,-1.709
0.980,-0.161,0.179,9.949,-2.686,-1.465
0.975,-0.142,0.195,9.644,-2.808,-0.916
0.975,-0.121,0.178,10.132,-1.526,-2.014
0.982,-0.132,0.160,10.315,-0.854,-3.784
0.990,-0.156,0.153,10.071,-2.441,-6.958
1.000,-0.190,0.170,10.620,-3.662,-6.897
1.001,-0.191,0.176,11.719,-4.944,-5.493
1.000,-0.201,0.179,11.719,-5.188,-4.944
0.995,-0.200,0.188,11.658,-5.554,-4.089
0.981,-0.172,0.195,11.902,-6.226,-2.136
0.980,-0.171,0.184,11.658,-6.409,-2.319
0.981,-0.182,0.178,10.254,-8.423,-3.601
0.975,-0.195,0.207,10.010,-9.644,-3.601
0.971,-0.192,0.216,10.376,-9.583,-3.296
0.940,-1.252,-0.739,368.347,-134.338,22.339
0.964,-1.306,-0.741,379.639,-127.625,48.279
0.961,-1.266,-0.645,378.845,-124.390,59.265
0.928,-1.189,-0.636,349.548,-123.169,68.420
0.865,-1.088,-0.646,328.857,-124.329,69.458
0.839,-1.073,-0.650,308.960,-124.878,70.618
0.812,-1.077,-0.655,282.288,-122.314,76.965
0.737,-1.011,-0.681,275.940,-121.643,83.069
0.691,-0.925,-0.585,265.259,-122.131,91.064
0.678,-0.802,-0.483,253.601,-120.361,90.759
0.709,-0.785,-0.466,237.244,-119.690,89.233
0.753,-0.765,-0.465,213.196,-115.356,90.027
0.859,-0.741,-0.491,207.397,-111.511,92.285
0.908,-0.743,-0.517,203.125,-101.074,102.295
0.901,-0.669,-0.551,203.247,-97.534,109.192
0.854,-0.580,-0.509,201.782,-93.567,116.089
0.779,-0.377,-0.407,195.740,-92.590,111.267
0.772,-0.327,-0.349,186.462,-92.346,102.112
0.779,-0.311,-0.311,167.480,-89.172,83.191
0.808,-0.373,-0.186,160.767,-84.900,76.416
0.815,-0.403,-0.108,149.902,-72.449,71.594
0.801,-0.396,-0.005,141.663,-66.345,71.106
0.792,-0.388,-0.009,116.577,-55.908,66.284
0.721,-0.363,-0.013,101.440,-52.979,62.195
0.652,-0.308,0.025,87.097,-49.744,57.312
0.562,-0.240,0.074,64.087,-39.490,41.748
0.351,-0.105,0.223,54.443,-33.936,31.250
0.269,-0.074,0.289,36.987,-17.212,-0.549
0.126,-0.105,0.312,24.780,-7.019,-23.376
0.042,-0.181,0.324,8.240,0.916,-49.683
-0.046,-0.303,0.351,-29.724,15.076,-110.596
-0.182,-0.864,0.464,-46.143,26.062,-137.634
-0.256,-1.181,0.591,-67.078,68.604,-160.095
-0.530,-1.540,0.890,-76.416,103.821,-162.048
-0.721,-1.694,0.958,-112.122,187.683,-167.541
-1.107,-2.241,1.024,-144.043,233.948,-166.626
-1.286,-2.569,0.937,-181.091,287.842,-157.593
-1.771,-3.151,0.447,-254.822,411.499,-112.305
-2.095,-3.409,-0.016,-298.401,473.816,-81.848
-2.428,-3.655,-0.606,-413.391,565.491,-26.367
-3.286,-3.965,-1.300,-466.431,594.971,-7.080
-3.775,-4.000,-1.499,-531.128,686.157,-16.663
-4.000,-4.000,-2.381,-551.453,735.413,-46.814
-4.000,-4.000,-3.047,-590.454,773.804,-94.604
-3.986,-3.999,-3.348,-611.938,766.235,-69.946
-3.993,-4.000,-3.275,-619.995,782.959,-15.442
-4.000,-4.000,-3.612,-545.959,935.303,100.037
-4.000,-4.000,-4.000,-452.332,1014.526,190.796
-4.000,-4.000,-4.000,-116.455,1161.560,626.770
-4.000,-3.522,-3.584,94.727,1221.741,915.771
-4.000,-1.939,-3.695,271.973,1103.516,1106.506
-3.927,0.233,-4.000,124.451,823.486,925.171
-3.464,-0.568,-4.000,-71.106,451.904,677.795
-2.759,-2.208,-4.000,-211.731,-143.005,387.634
-2.592,-3.971,-3.031,-190.002,-264.771,406.311
-2.783,-3.410,-2.211,-135.864,-221.130,505.127
-2.517,-2.509,-1.733,-115.356,-149.170,508.423
-2.265,-2.324,-2.269,-50.903,-50.720,476.746
-2.067,-1.852,-3.248,-40.771,-72.937,459.473
-2.112,-1.486,-3.031,-63.721,-199.219,427.917
-2.060,-0.737,-2.035,-66.895,-241.455,406.982
-1.931,-0.531,-1.624,-57.861,-258.911,380.859
-1.786,-0.396,-1.306,-37.720,-253.784,330.688
-1.520,-0.127,-0.777,-35.828,-241.394,310.974
-1.386,0.013,-0.601,-39.185,-198.181,276.123
-1.114,0.228,-0.487,-39.795,-172.485,258.911
-0.989,0.289,-0.497,-40.161,-129.761,228.699
-0.810,0.408,-0.518,-39.978,-114.441,218.323
-0.758,0.497,-0.512,-39.185,-102.539,210.510
-0.725,0.606,-0.497,-35.400,-85.022,196.228
-0.657,0.819,-0.468,-32.166,-76.416,186.279
-0.607,0.930,-0.486,-15.137,-59.814,161.865
-0.495,1.138,-0.570,-4.700,-55.725,146.851
-0.425,1.188,-0.632,5.127,-65.857,111.694
-0.296,1.177,-0.614,5.005,-82.153,95.215
-0.240,1.137,-0.469,4.272,-101.562,80.627
-0.191,1.079,-0.258,8.789,-123.779,55.237
-0.092,0.986,0.132,14.709,-119.934,44.373
-0.037,0.947,0.254,25.696,-93.689,26.978
0.072,0.879,0.372,29.785,-77.576,22.217
0.112,0.872,0.381,32.104,-47.180,18.677
0.139,0.884,0.363,31.433,-35.400,16.907
0.185,0.940,0.302,33.020,-26.123,13.489
0.219,0.982,0.261,39.063,-16.052,-0.916
0.283,1.024,0.246,40.344,-16.785,-11.475
0.311,0.997,0.299,41.809,-20.996,-34.607
0.384,0.836,0.452,46.204,-17.822,-44.861
0.419,0.747,0.489,52.551,-9.949,-52.490
0.449,0.670,0.496,61.462,10.315,-60.059
0.480,0.576,0.489,63.599,20.630,-61.035
0.479,0.548,0.459,62.805,41.626,-62.988
0.507,0.482,0.267,59.692,50.537,-65.491
0.529,0.472,0.160,57.068,56.091,-68.176
0.554,0.487,0.062,58.105,55.908,-75.256
0.607,0.463,-0.017,60.059,50.110,-81.421
0.633,0.407,0.015,65.979,38.513,-93.689
0.698,0.279,0.154,71.960,38.879,-96.741
0.760,0.243,0.162,80.261,45.044,-97.534
0.818,0.211,0.129,84.473,53.467,-95.032
0.885,0.142,0.142,77.332,51.208,-92.346
0.901,0.130,0.155,67.505,47.974,-85.693
0.976,0.179,0.074,65.918,45.593,-84.290
1.040,0.155,0.040,60.425,27.100,-90.027
1.088,0.048,0.113,58.167,17.273,-90.942
1.095,-0.191,0.518,59.265,17.212,-85.815
1.083,-0.212,0.651,61.462,51.208,-63.965
1.153,-0.134,0.419,58.594,71.899,-54.443
1.200,-0.088,0.208,47.852,81.116,-43.701
1.224,-0.054,0.121,42.358,71.716,-41.687
1.215,-0.075,0.194,40.466,63.782,-40.100
1.218,-0.065,0.195,47.546,63.293,-34.302
1.282,-0.006,-0.009,48.523,57.617,-33.997
1.297,-0.040,0.001,33.630,21.545,-38.086
1.250,-0.157,0.320,25.574,7.690,-37.659
1.224,-0.170,0.418,23.254,5.920,-34.119
1.215,-0.132,0.376,29.724,19.531,-25.085
1.226,-0.053,0.186,28.748,16.663,-24.841
1.222,-0.064,0.222,15.198,-9.644,-28.687
1.175,-0.130,0.474,9.827,-16.479,-29.114
1.153,-0.131,0.531,9.521,-4.883,-22.888
1.097,0.009,0.437,10.742,3.296,-19.470
1.059,0.087,0.395,8.728,7.019,-20.203
1.026,0.122,0.384,6.226,11.597,-32.471
0.987,0.108,0.311,10.559,16.785,-38.391
0.992,0.065,0.242,25.696,21.729,-38.269
1.006,0.023,0.148,32.166,17.273,-31.738
0.998,0.030,0.143,34.302,9.949,-24.597
0.988,0.024,0.153,29.114,-2.625,-16.968
0.998,-0.037,0.167,27.710,-5.676,-14.771
1.005,-0.057,0.168,31.067,-6.531,-8.728
1.006,-0.077,0.127,33.325,-5.737,-6.348
1.007,-0.090,0.099,34.241,-6.348,-5.005
1.008,-0.107,0.092,29.663,-13.306,-4.700
0.988,-0.135,0.147,25.574,-17.212,-4.578
0.969,-0.137,0.190,21.851,-19.226,-3.662
0.935,-0.140,0.263,21.606,-17.395,-3.052
0.922,-0.145,0.281,17.212,-11.902,-2.380
0.892,-0.137,0.293,14.954,-8.789,-1.587
0.881,-0.120,0.287,13.794,-5.676,-0.732
0.875,-0.103,0.286,13.428,-1.221,-0.305
0.864,-0.077,0.335,13.916,0.854,-0.305
0.864,-0.064,0.361,17.212,8.972,0.854
0.872,0.017,0.390,19.531,14.343,1.343
0.870,0.073,0.408,20.813,19.409,0.671
0.878,0.113,0.410,20.874,30.273,-7.751
0.962,0.049,0.306,22.461,34.729,-13.672
1.014,-0.017,0.245,21.912,34.119,-21.179
1.090,-0.133,0.207,18.616,29.785,-22.461
1.112,-0.182,0.212,15.137,21.606,-19.104
1.125,-0.216,0.224,16.357,19.714,-14.832
1.021,-1.060,-0.565,391.907,-91.431,2.441
1.104,-1.073,-0.519,411.560,-76.477,29.541
1.206,-0.935,-0.819,416.321,-67.078,37.903
1.181,-0.785,-1.016,406.738,-70.129,38.818
1.189,-0.862,-1.161,361.633,-108.337,20.081
1.241,-1.043,-1.138,349.548,-124.878,13.672
1.256,-1.170,-1.073,348.267,-138.489,27.832
1.124,-1.149,-0.915,349.182,-140.442,41.321
1.019,-1.075,-0.865,340.454,-145.264,58.655
0.862,-1.006,-0.797,331.299,-148.560,60.730
0.814,-1.022,-0.709,320.435,-151.245,60.608
0.792,-1.085,-0.602,297.791,-146.484,60.669
0.801,-1.257,-0.443,289.490,-138.245,65.186
0.797,-1.293,-0.370,274.719,-117.249,82.581
0.777,-1.253,-0.372,261.292,-107.849,90.515
0.783,-1.231,-0.435,225.708,-100.891,98.267
0.814,-1.212,-0.537,213.806,-103.088,101.196
0.827,-1.192,-0.457,208.191,-106.506,104.980
0.845,-1.162,-0.354,197.998,-104.248,114.563
0.871,-1.092,-0.245,188.049,-98.999,120.300
0.866,-1.028,-0.244,165.039,-85.388,132.080
0.798,-0.764,-0.264,153.992,-79.651,135.559
0.757,-0.592,-0.267,133.850,-73.730,128.723
0.734,-0.433,-0.211,127.502,-72.937,118.652
0.736,-0.423,-0.140,122.742,-72.449,108.948
0.727,-0.419,-0.060,108.459,-66.284,96.741
0.687,-0.396,0.074,98.755,-59.937,93.994
0.661,-0.376,0.157,75.684,-35.706,96.375
0.610,-0.264,0.243,65.125,-18.982,99.670
0.594,-0.196,0.239,55.969,-7.385,100.159
0.584,-0.108,0.237,32.349,-12.146,80.811
0.576,0.023,0.328,22.278,-26.123,59.265
0.577,0.029,0.378,7.080,-52.856,14.771
0.569,-0.049,0.604,-2.197,-56.458,0.183
0.531,-0.089,0.676,-12.024,-46.082,-8.301
0.475,-0.102,0.636,-37.842,-0.244,-18.677
0.294,-0.070,0.496,-52.612,15.991,-26.367
0.165,-0.050,0.492,-78.308,33.997,-58.533
-0.137,-0.140,0.572,-90.210,41.077,-85.022
-0.288,-0.299,0.680,-119.995,61.035,-150.818
-0.603,-0.718,1.002,-138.000,80.017,-182.800
-0.769,-0.987,1.090,-162.231,106.018,-213.013
-0.903,-1.333,1.113,-224.060,169.373,-265.015
-1.063,-2.253,1.307,-240.601,212.402,-277.527
-1.169,-2.747,1.219,-229.248,358.643,-260.681
-1.514,-3.441,0.384,-233.826,432.007,-238.403
-1.791,-3.624,0.097,-299.316,516.968,-192.017
-2.501,-3.974,-0.304,-361.450,542.114,-176.453
-2.892,-4.000,-0.617,-437.012,559.509,-166.504
-3.368,-4.000,-1.514,-549.011,591.553,-178.162
-3.351,-3.995,-1.932,-564.209,613.403,-196.533
-3.237,-3.995,-2.397,-580.933,644.897,-178.162
-3.370,-4.000,-2.910,-608.276,632.446,-132.080
-3.499,-4.000,-2.793,-617.859,632.568,-81.848
-3.430,-4.000,-2.732,-567.566,656.799,-50.842
-3.567,-4.000,-2.360,-497.620,661.865,57.068
-3.997,-4.000,-1.515,-447.082,698.608,115.356
-4.000,-4.000,-1.642,-374.634,767.395,189.331
-4.000,-4.000,-2.002,-221.924,887.634,364.868
-3.993,-4.000,-3.256,-157.349,906.921,438.721
-3.995,-3.972,-3.905,-126.709,777.893,516.968
-3.598,-3.482,-4.000,-152.283,635.742,518.188
-3.102,-3.109,-3.886,-184.937,357.056,489.258
-2.347,-2.670,-3.148,-183.228,272.583,474.304
-2.189,-2.352,-3.070,-174.438,221.436,467.468
-2.041,-1.827,-3.269,-136.658,131.409,454.224
-1.572,-1.074,-3.454,-119.019,61.829,425.537
-1.383,-1.091,-3.010,-95.947,-78.369,348.999
-1.236,-1.298,-1.886,-87.830,-112.305,323.364
-1.212,-1.172,-1.659,-77.576,-121.399,303.833
-1.142,-0.410,-1.571,-71.899,-123.901,294.922
-1.075,-0.097,-1.412,-58.655,-140.076,252.747
-0.932,0.243,-0.818,-58.044,-144.348,229.614
-0.859,0.432,-0.554,-64.697,-140.137,210.815
-0.770,0.601,-0.434,-70.313,-106.995,176.453
-0.566,0.731,-0.494,-63.599,-88.562,158.508
