aX,aY,aZ,gX,gY,gZ
0.454,0.351,1.164,56.213,21.362,-19.470
0.431,0.363,1.143,58.044,51.147,-31.555
0.404,0.310,0.974,50.110,68.481,-39.368
0.411,0.272,0.893,17.700,64.941,-43.945
0.442,0.227,0.829,-4.700,46.997,-39.307
0.444,0.217,0.837,-32.227,4.639,-32.532
0.439,0.225,0.879,-39.307,-7.690,-33.020
0.429,0.237,0.894,-43.335,-11.719,-32.532
0.411,0.250,0.902,-33.264,-8.423,-28.809
0.369,0.278,0.906,-22.156,-7.935,-27.771
0.354,0.291,0.908,-8.850,-11.475,-27.832
0.331,0.325,0.910,-9.521,-14.099,-28.687
0.322,0.345,0.920,-10.437,-16.785,-31.067
0.319,0.360,0.934,-5.310,-17.151,-42.786
0.318,0.349,0.946,-2.380,-12.878,-51.575
0.320,0.314,0.948,-1.282,-1.282,-68.542
0.318,0.218,0.942,-2.747,3.601,-74.280
0.298,0.180,0.939,-9.521,9.583,-81.421
0.212,0.123,0.950,-14.526,11.841,-84.900
0.149,0.101,0.957,-20.569,15.015,-89.844
0.085,0.089,0.956,-27.039,29.663,-106.262
-0.018,0.066,0.900,-27.344,42.603,-118.103
-0.055,0.037,0.839,-30.518,73.914,-146.423
-0.103,-0.059,0.687,-34.363,87.280,-160.767
-0.124,-0.104,0.615,-39.307,96.741,-174.316
-0.139,-0.130,0.554,-44.556,106.812,-200.195
-0.157,-0.166,0.456,-42.969,111.694,-213.928
-0.165,-0.201,0.416,-34.302,128.540,-242.981
-0.123,-0.299,0.377,-26.550,141.846,-259.216
-0.068,-0.383,0.380,-8.728,181.763,-288.513
0.066,-0.603,0.351,-9.033,208.923,-300.232
0.150,-0.691,0.307,-14.465,236.023,-310.425
0.207,-0.779,0.268,-31.799,264.526,-312.378
0.630,-1.500,0.564,-172.974,300.659,-259.705
0.662,-1.655,0.572,-239.502,306.641,-251.831
0.759,-1.897,0.544,-261.597,302.551,-246.887
0.839,-1.959,0.479,-296.326,300.171,-235.046
0.997,-1.990,0.216,-298.096,295.654,-224.304
1.023,-2.003,0.080,-287.659,288.330,-207.214
1.025,-2.049,-0.032,-246.216,274.902,-158.264
