aX,aY,aZ,gX,gY,gZ
0.645,-0.754,0.221,9.094,1.770,-4.517
0.645,-0.760,0.216,12.878,1.831,-5.066
0.645,-0.760,0.214,22.339,2.380,-5.127
0.635,-0.758,0.209,22.278,1.526,-5.249
0.631,-0.764,0.211,20.569,0.000,-5.737
0.629,-0.769,0.216,22.400,-1.038,-5.798
0.623,-0.768,0.218,23.804,-0.122,-5.127
0.619,-0.764,0.211,17.395,0.916,-4.517
0.621,-0.771,0.201,13.916,0.916,-4.211
0.624,-0.778,0.198,12.817,1.526,-3.479
0.625,-0.780,0.191,12.634,3.723,-1.404
0.622,-0.775,0.179,10.376,3.357,-1.099
0.622,-0.775,0.182,4.700,1.587,-2.014
0.621,-0.775,0.193,2.441,2.014,-2.136
0.620,-0.771,0.190,1.160,3.601,-1.709
0.621,-0.765,0.184,-1.526,6.775,-0.977
0.629,-0.760,0.174,-4.456,6.592,-1.099
0.633,-0.763,0.176,-12.939,2.930,-1.709
0.639,-0.769,0.197,-16.052,1.221,-1.648
0.642,-0.774,0.208,-24.048,0.427,-1.526
0.643,-0.781,0.225,-27.893,0.854,-0.977
0.645,-0.782,0.230,-29.175,1.465,-0.183
0.649,-0.785,0.232,-31.128,2.686,1.404
0.651,-0.786,0.229,-31.677,2.869,2.136
0.651,-0.786,0.229,-30.212,2.563,2.502
0.646,-0.786,0.240,-30.640,2.258,2.625
0.640,-0.784,0.249,-31.006,1.953,3.113
0.634,-0.778,0.255,-27.527,2.014,4.456
0.625,-0.761,0.260,-25.391,1.953,4.944
0.618,-0.752,0.260,-24.231,1.953,5.310
0.610,-0.737,0.262,-23.499,2.136,4.578
0.610,-0.735,0.264,-17.700,3.479,2.319
-0.876,-1.261,-0.771,-28.625,65.430,-51.270
-1.077,-1.261,-0.906,-14.465,64.819,-61.584
-1.493,-1.339,-1.205,-10.803,55.054,-65.491
-1.719,-1.451,-1.360,-17.395,6.348,-61.096
-2.262,-1.859,-1.689,-19.104,-35.950,-50.659
-2.530,-2.112,-1.803,-16.724,-92.712,-33.203
-2.731,-2.298,-1.837,-3.113,-248.657,13.977
-2.917,-2.470,-1.956,20.447,-334.961,31.311
-3.024,-2.668,-2.012,118.042,-522.583,47.974
-3.623,-3.437,-1.571,203.491,-634.521,53.406
-3.966,-3.737,-1.269,487.366,-907.593,35.645
-4.000,-3.214,-0.553,621.277,-1058.899,-5.981
-4.000,-2.790,0.162,643.188,-1200.806,-61.829
-3.989,-2.538,1.177,369.873,-1358.337,-174.438
-3.998,-2.390,2.743,217.712,-1323.547,-200.256
-4.000,-2.056,2.956,54.077,-1100.037,-159.607
